Dagar,M̴nad,Dag,Precip Medel,Temperature Medel
1,1,1,3.28,1.97
2,1,2,1.17,0.9
3,1,3,3.18,0.71
4,1,4,1.52,1.0
5,1,5,1.83,-0.37
6,1,6,3.3,-0.02
7,1,7,3.39,1.38
8,1,8,2.49,2.07
9,1,9,3.68,1.92
10,1,10,5.4,1.79
11,1,11,4.94,2.79
12,1,12,3.8,2.66
13,1,13,1.23,1.62
14,1,14,1.43,1.23
15,1,15,3.32,0.28
16,1,16,1.07,1.18
17,1,17,2.39,1.02
18,1,18,3.8,1.55
19,1,19,1.82,1.03
20,1,20,3.79,0.52
21,1,21,1.91,-0.17
22,1,22,0.99,-0.92
23,1,23,3.01,-0.39
24,1,24,2.88,0.32
25,1,25,1.45,0.05
26,1,26,2.73,0.34
27,1,27,3.25,0.6
28,1,28,2.43,1.63
29,1,29,3.17,0.95
30,1,30,2.48,0.35
31,1,31,3.65,0.18
32,2,1,3.81,0.62
33,2,2,2.23,0.46
34,2,3,2.16,0.08
35,2,4,2.75,0.17
36,2,5,1.52,0.28
37,2,6,1.98,0.89
38,2,7,3.07,1.47
39,2,8,3.6,1.87
40,2,9,2.5,1.1
41,2,10,1.03,0.67
42,2,11,2.09,0.14
43,2,12,1.66,0.4
44,2,13,1.63,0.16
45,2,14,1.47,0.07
46,2,15,2.13,0.9
47,2,16,1.54,1.15
48,2,17,1.0,1.42
49,2,18,3.72,1.81
50,2,19,1.5,1.36
51,2,20,4.69,0.69
52,2,21,2.93,0.64
53,2,22,2.64,0.57
54,2,23,1.0,0.64
55,2,24,1.4,1.12
56,2,25,1.9,1.43
57,2,26,1.65,1.25
58,2,27,2.0,0.66
59,2,28,2.4,1.2
60,3,1,1.12,1.33
61,3,2,2.16,1.26
62,3,3,0.81,0.93
63,3,4,0.84,1.22
64,3,5,2.43,0.46
65,3,6,2.49,1.63
66,3,7,1.33,1.98
67,3,8,2.63,2.5
68,3,9,2.7,2.73
69,3,10,2.97,2.51
70,3,11,3.07,2.73
71,3,12,3.13,3.33
72,3,13,1.05,2.82
73,3,14,1.98,3.43
74,3,15,1.37,3.5
75,3,16,2.03,3.72
76,3,17,1.77,4.04
77,3,18,0.94,3.47
78,3,19,1.83,2.77
79,3,20,1.31,3.41
80,3,21,0.5,3.75
81,3,22,0.73,3.22
82,3,23,0.79,3.53
83,3,24,0.65,3.65
84,3,25,0.78,4.12
85,3,26,2.0,4.13
86,3,27,1.78,4.38
87,3,28,1.97,5.13
88,3,29,0.81,5.43
89,3,30,1.4,5.54
90,3,31,1.7,5.54
91,4,1,1.24,5.37
92,4,2,0.53,5.65
93,4,3,0.71,6.17
94,4,4,3.17,6.7
95,4,5,2.09,5.86
96,4,6,2.85,5.4
97,4,7,1.99,6.3
98,4,8,2.89,5.73
99,4,9,1.42,5.74
100,4,10,1.02,6.14
101,4,11,2.64,6.76
102,4,12,1.87,6.28
103,4,13,1.62,6.76
104,4,14,1.26,7.27
105,4,15,1.58,7.86
106,4,16,1.07,8.01
107,4,17,1.25,8.16
108,4,18,0.63,8.55
109,4,19,1.75,9.03
110,4,20,0.52,9.35
111,4,21,0.24,9.4
112,4,22,1.02,9.87
113,4,23,2.02,9.77
114,4,24,2.33,9.47
115,4,25,1.18,9.67
116,4,26,1.51,10.02
117,4,27,3.07,9.94
118,4,28,2.99,10.3
119,4,29,1.7,11.33
120,4,30,2.67,11.26
121,5,1,1.38,10.41
122,5,2,0.5,10.15
123,5,3,1.9,9.9
124,5,4,1.42,9.65
125,5,5,1.57,10.83
126,5,6,1.44,11.23
127,5,7,0.77,12.01
128,5,8,3.28,12.24
129,5,9,1.33,13.14
130,5,10,3.22,13.06
131,5,11,1.83,12.23
132,5,12,2.66,11.54
133,5,13,1.53,11.3
134,5,14,2.77,11.6
135,5,15,1.2,12.15
136,5,16,1.9,12.61
137,5,17,1.31,12.28
138,5,18,1.91,12.66
139,5,19,2.59,13.37
140,5,20,1.32,13.5
141,5,21,3.67,13.57
142,5,22,2.05,14.55
143,5,23,2.35,14.3
144,5,24,2.38,13.84
145,5,25,2.74,13.97
146,5,26,1.01,14.23
147,5,27,2.09,13.64
148,5,28,2.41,13.87
149,5,29,1.91,13.78
150,5,30,1.85,14.74
151,5,31,1.81,15.35
152,6,1,1.71,15.34
153,6,2,2.13,15.69
154,6,3,1.4,16.22
155,6,4,0.78,15.97
156,6,5,0.86,16.05
157,6,6,2.95,16.58
158,6,7,2.19,15.7
159,6,8,2.21,15.77
160,6,9,1.05,15.96
161,6,10,2.88,16.12
162,6,11,3.22,15.7
163,6,12,2.94,15.43
164,6,13,1.67,15.63
165,6,14,0.78,15.43
166,6,15,2.33,15.57
167,6,16,3.39,15.66
168,6,17,2.33,15.88
169,6,18,2.7,16.54
170,6,19,2.33,16.5
171,6,20,4.27,16.17
172,6,21,3.48,16.19
173,6,22,3.31,15.5
174,6,23,2.34,15.95
175,6,24,2.0,16.59
176,6,25,1.86,16.99
177,6,26,4.4,17.31
178,6,27,1.6,17.15
179,6,28,1.04,17.26
180,6,29,3.61,17.35
181,6,30,2.2,17.54
182,7,1,3.43,17.53
183,7,2,1.77,17.97
184,7,3,3.88,18.65
185,7,4,1.09,18.76
186,7,5,2.17,18.94
187,7,6,3.87,18.21
188,7,7,2.47,17.93
189,7,8,3.11,18.18
190,7,9,4.29,18.43
191,7,10,3.36,18.06
192,7,11,5.39,17.88
193,7,12,2.18,18.01
194,7,13,1.73,17.74
195,7,14,1.67,17.9
196,7,15,1.91,18.05
197,7,16,1.73,18.53
198,7,17,2.94,18.52
199,7,18,2.61,18.3
200,7,19,1.9,18.35
201,7,20,0.94,19.33
202,7,21,2.86,18.77
203,7,22,3.59,18.8
204,7,23,3.26,18.79
205,7,24,2.41,18.93
206,7,25,4.53,19.22
207,7,26,1.7,19.18
208,7,27,3.94,19.29
209,7,28,4.09,19.46
210,7,29,3.68,19.37
211,7,30,4.63,18.83
212,7,31,3.55,18.92
213,8,1,1.1,18.97
214,8,2,3.28,18.74
215,8,3,2.81,18.43
216,8,4,5.98,18.82
217,8,5,2.37,18.46
218,8,6,2.45,18.78
219,8,7,2.3,19.03
220,8,8,3.21,18.97
221,8,9,3.06,18.47
222,8,10,5.82,18.11
223,8,11,4.26,18.15
224,8,12,4.4,18.05
225,8,13,2.74,17.97
226,8,14,2.99,17.63
227,8,15,2.43,18.56
228,8,16,2.51,18.4
229,8,17,3.09,17.96
230,8,18,2.33,18.23
231,8,19,4.28,17.95
232,8,20,1.44,18.24
233,8,21,1.2,17.92
234,8,22,1.88,17.57
235,8,23,2.29,17.35
236,8,24,2.85,16.96
237,8,25,3.7,17.39
238,8,26,3.26,17.03
239,8,27,6.59,16.32
240,8,28,3.76,15.8
241,8,29,1.18,16.03
242,8,30,2.23,15.4
243,8,31,3.0,15.36
244,9,1,1.37,15.78
245,9,2,3.45,15.65
246,9,3,1.68,15.87
247,9,4,1.99,15.6
248,9,5,2.32,15.49
249,9,6,5.27,16.04
250,9,7,2.89,15.82
251,9,8,2.03,15.93
252,9,9,2.06,15.65
253,9,10,1.63,15.6
254,9,11,3.46,15.32
255,9,12,3.06,15.21
256,9,13,2.16,14.85
257,9,14,4.34,15.15
258,9,15,4.85,14.39
259,9,16,2.64,13.57
260,9,17,1.93,13.23
261,9,18,2.74,13.79
262,9,19,1.95,13.47
263,9,20,3.07,13.33
264,9,21,2.9,13.3
265,9,22,2.22,13.2
266,9,23,1.18,13.35
267,9,24,1.52,13.0
268,9,25,2.85,13.1
269,9,26,1.53,13.18
270,9,27,5.07,13.07
271,9,28,1.85,12.83
272,9,29,1.95,12.15
273,9,30,3.75,11.94
274,10,1,5.5,11.83
275,10,2,4.11,12.04
276,10,3,3.36,11.98
277,10,4,4.56,11.68
278,10,5,2.9,11.29
279,10,6,5.11,10.76
280,10,7,1.8,11.02
281,10,8,2.92,10.71
282,10,9,2.53,9.93
283,10,10,3.12,9.97
284,10,11,2.28,10.03
285,10,12,0.49,9.77
286,10,13,1.8,9.01
287,10,14,1.13,9.43
288,10,15,3.16,9.09
289,10,16,1.99,9.12
290,10,17,1.94,9.39
291,10,18,4.35,8.31
292,10,19,3.29,8.41
293,10,20,2.61,9.02
294,10,21,5.55,8.77
295,10,22,4.28,9.16
296,10,23,4.47,8.7
297,10,24,4.49,8.35
298,10,25,7.21,8.96
299,10,26,4.21,9.09
300,10,27,4.16,8.6
301,10,28,6.37,8.73
302,10,29,3.77,8.04
303,10,30,4.19,7.65
304,10,31,2.61,8.59
305,11,1,2.77,8.63
306,11,2,3.54,7.93
307,11,3,3.5,7.75
308,11,4,1.5,7.44
309,11,5,2.65,7.23
310,11,6,3.49,6.71
311,11,7,2.77,6.57
312,11,8,2.23,6.53
313,11,9,3.81,6.18
314,11,10,3.86,6.28
315,11,11,3.99,6.33
316,11,12,2.8,6.17
317,11,13,3.09,6.06
318,11,14,3.54,6.83
319,11,15,1.8,7.37
320,11,16,2.44,6.21
321,11,17,2.9,5.89
322,11,18,4.68,6.03
323,11,19,1.79,4.89
324,11,20,4.0,3.98
325,11,21,2.5,3.87
326,11,22,4.02,4.36
327,11,23,2.27,4.47
328,11,24,4.17,4.33
329,11,25,2.48,4.62
330,11,26,2.48,4.55
331,11,27,2.0,4.19
332,11,28,4.27,3.82
333,11,29,4.03,2.97
334,11,30,1.1,3.17
335,12,1,2.43,2.66
336,12,2,2.43,2.42
337,12,3,3.04,2.72
338,12,4,2.38,3.05
339,12,5,3.3,4.05
340,12,6,3.14,3.3
341,12,7,4.21,3.46
342,12,8,4.05,4.0
343,12,9,3.17,3.72
344,12,10,4.18,2.79
345,12,11,3.04,2.9
346,12,12,2.45,1.55
347,12,13,3.25,2.15
348,12,14,3.13,2.48
349,12,15,2.84,2.38
350,12,16,1.65,2.11
351,12,17,2.09,1.65
352,12,18,2.01,2.2
353,12,19,1.73,2.37
354,12,20,2.1,2.23
355,12,21,2.2,1.75
356,12,22,1.6,1.94
357,12,23,2.34,1.65
358,12,24,3.08,1.0
359,12,25,3.49,0.99
360,12,26,4.18,1.04
361,12,27,3.32,1.5
362,12,28,4.78,0.71
363,12,29,3.5,1.16
364,12,30,2.55,1.43
365,12,31,2.0,0.29
